TOTDAM,DEMANDED,TRIDAYS,CLAIMTYPE
11760,17640,1,Rental
150000,200000,2,Other
2831,2870,1,Other
29863,9900,5,Motor
2200,2200,2,Other
70945,58816,2,Other
2319,10000,1,Other
141512,121110,1,Other
82780,780382,5,Other
7245,21196,3,Other
86234,150000,6,Rental
65000,100000,4,Other
9610,10000,1,Malpractice
3000,350000,2,Other
136987,163942,1,Other
75857,57802,3,Other
60000,750000,3,Fraud
11000,25000,1,Motor
13900,150000,2,Motor
36467,370570,3,Other
71827,5000000,5,Other
26331,9331,4,Motor
186886,200000,1,Fraud
99396,167614,5,Fraud
2380,10000,2,Premises
11287,10664,1,Other
19268,7028,1,Motor
2500,465684,3,Motor
14011,35000,3,Other
32419,34395,1,Other
63073,54733,8,Other
16766,19408,2,Other
2012,44284,2,Motor
248280,171627,1,Other
87000,135000,6,Other
2864,24571,2,Other
27000,850000,2,Other
6750,10798,1,Motor
55156,55922,1,Other
16889,62867,2,Other
76523,75120,2,Other
34870,29801,1,Other
5000,150000,1,Premises
200455,401500,1,Fraud
186327,12760,9,Other
2873,63024,3,Other
225,125000,1,Motor
4500,25000,1,Motor
8600,120000,4,Other
143847,143847,16,Other
29170,317970,5,Other
61593,56581,1,Other
214983,1000000,10,Other
70166,56831,1,Fraud
18063,45000,1,Motor
22611,15258,1,Other
3000,20000,4,Motor
37999,26000,3,Other
7500,21500,1,Other
36870,33364,1,Other
58358,50000,1,Other
737,4224,1,Other
54128,56000,5,Other
52500,52500,7,Other
50000,50000,1,Other
61556,260416,2,Motor
1435,1435,2,Motor
14788,64818,1,Other
127000,125000,20,Other
60000,60000,1,Other
76079,58543,1,Other
12202,13152,1,Other
2063,15000,1,Motor
2706,12706,1,Motor
2455,4565,1,Rental
12500,7500,4,Motor
54014,46000,1,Other
8166,49999,2,Motor
43693,19158,1,Fraud
65541,55368,2,Other
8000,6000,4,Motor
19454,50000,2,Motor
63193,26182,2,Other
200000,5000000,5,Premises
24893,25000,2,Motor
110168,361133,2,Motor
7676,25000,1,Premises
10084,19988,1,Other
389,5478,1,Other
79013,79013,1,Rental
5600,7260,3,Fraud
20000,75000,10,Motor
4896,25000,3,Other
208980,5175000,7,Fraud
26314,26084,1,Other
17536,100000,1,Motor
7725,25000,7,Motor
118148,40000,4,Motor
210000,10000000,5,Premises
217488,269290,3,Malpractice
3339,3339,1,Motor
4500,5000000,2,Motor
122400,250000,6,Other
9500,13803,1,Other
48173,100000,2,Motor
1500,50000,1,Premises
15000,250000,5,Motor
1745,34249,2,Motor
25000,125000,1,Other
6407,6407,1,Motor
4000,219081,2,Motor
19445,25729,2,Other
71500,100000,1,Motor
40000,40000,1,Other
40255,37000,2,Other
3500,2200000,7,Fraud
213468,40087,6,Other
57513,47376,2,Other
25743,30000,4,Other
49000,222115,3,Other
6623,5627,1,Motor
76720,62221,1,Other
18675,78084,4,Fraud
149807,50000,3,Other
108777,97228,1,Other
62250,100000,5,Other
